A,B,C,D,E,F
1,-39.5,12,204.35,-76.3081,-20.4467
9,0.44,13,219.01,5.47234,15.0351
25,80.25,33,519.35,-60.3575,-69.4332
15,30.14,33,519.3,34.357,6.67831
16,35.13,11,189.09,6.6955,11.1432
34,125.23,7,129.15,19.7267,40.4457
19,50.43,28,444.41,15.0515,39.2104
21,60.04,4,84.52,58.8064,29.9634
39,150.1,2,54.21,71.2566,31.7254
21,60.24,17,279.09,27.742,65.3558
6,-14.97,21,339.31,-60.4148,-74.606
35,130.52,24,384,-19.8597,-57.6766
39,150.38,5,99.12,-63.5722,-33.8019
39,150.44,16,264.38,21.9403,67.525
3,-29.91,6,114.17,-1.40842,-2.64884
15,30.4,23,369.13,28.1053,40.1384
34,125.01,35,549.15,-12.8025,-2.25742
16,35.55,8,144.1,25.695,46.3548
17,40.3,15,249.42,-55.8485,-48.5483
12,15.18,11,189.55,13.2399,17.57
28,95.06,11,189.28,-29.1456,-46.6426
23,70.16,17,279.36,-28.1206,-86.5461
6,-14.66,15,249.23,21.9186,44.9397
2,-34.56,34,534.34,48.0343,22.3988
35,130.34,2,54.35,21.1319,18.3696
26,85.33,5,99.07,-14.322,-15.3584
23,70,1,39.29,-46.3209,-34.9052
9,0.25,19,309.54,-33.0896,-31.9543
18,45.25,9,159.09,-78.4781,-27.0221
24,75.21,31,489.15,-88.6139,-39.4534
14,25.06,35,549.08,-79.23,-16.8408
5,-19.69,10,174.03,47.3837,72.9643
0,-44.55,12,204.36,-69.4786,-64.7898
21,60.52,18,293.99,29.7558,81.7532
16,35.01,39,609.44,22.8749,35.2241
39,150.34,24,384.23,-10,-17.3205
13,20.03,30,474.4,6.61532,23.0703
27,90.02,37,579.36,-72.7462,-42
9,0.26,10,174.44,-34.6483,-34.6482
22,65.04,34,534.31,74.5736,44.8083
8,-4.97,5,99.49,52.6575,49.1039
28,95.03,36,564.07,-41.8393,-89.7244
19,50.06,37,579.45,28.6695,74.6864
35,130.07,3,69.23,-31.9552,-28.7726
28,94.97,34,533.99,22.9566,12.2063
30,105.31,39,609.45,-4.6588,-12.1365
26,85.04,22,354.19,-18.1243,-14.1602
14,25.45,4,84.49,-22,-38.1051
26,85.09,15,248.98,-19.5366,-46.0252
28,95.27,24,384.32,31.8782,2.78898
28,95.31,5,99.37,-35.9297,-12.3716
24,75.17,31,489.35,-37.8554,-3.31192
13,20.14,28,444.55,-78.0022,-46.8684
3,-29.56,8,144.55,57.9556,15.5291
2,-34.82,0,24.44,-16.4812,-27.4293
9,0.45,39,609.43,87.1436,12.2472
10,5.01,14,234.1,-23.9331,-10.159
13,20.45,17,279.5,-33.5954,-65.9345
30,104.98,5,99.27,76.319,49.5621
1,-39.9,11,189.38,-3.50698,-7.19035
38,145.19,7,129.26,-24.0726,-31.9454
34,125.28,24,384.45,-2.35114,-3.23607
29,100.39,27,429.43,33.287,10.8156
25,80.42,26,414.39,-54.2751,-33.9148
20,55.26,10,174.48,-33.552,-17.8399
22,65.17,37,579.19,-28.1206,-86.5461
10,5.41,0,24.31,17.6409,61.5207
5,-19.7,31,489.29,19.5341,56.7311
37,140.34,4,84.4,58.7755,5.14218
0,-44.51,29,459.4,-39.4535,-88.6139
26,85.15,24,384.52,10,17.3205
24,74.99,21,339.34,5.03457,6.21716
26,85.31,11,189.34,45.5523,6.40196
15,30.41,20,324.56,-17.2022,-12.0451
11,9.97,32,504.49,58.4126,23.6002
36,135.18,37,579.37,-27.1375,-16.9574
37,140.01,31,489.36,66.3513,46.4597
5,-19.84,14,234.25,-6.53568,-10.064
12,15.41,8,144.41,33.0999,43.9249
36,135.36,0,24.05,-52.8571,-44.3523
8,-4.44,16,264.42,24.7253,44.6056
35,130.46,0,24.35,35.0226,58.2873
38,145.42,13,219.01,-59.3339,-63.6277
29,100.54,38,594.34,-93.2035,-30.2836
37,140.35,24,384.14,23.0974,75.548
32,115.16,27,429.17,-83.5398,-8.78038
28,95,0,24.46,29.6985,29.6985
3,-29.91,37,579.45,61.495,46.3397
30,105.43,20,324.25,42.743,34.6126
14,25.1,4,84.07,41.3619,7.29322
38,145.24,34,534.15,-16.5482,-12.9289
29,100.05,6,113.98,48.7904,48.7903
21,60.21,33,519.55,-7.12805,-3.63192
20,55.52,0,24.29,34.4683,6.07768
38,145.38,20,324.4,-17.9812,-44.5048
10,5.07,2,54.34,-76.9009,-22.051
0,-44.94,21,339.35,-67.6148,-18.1173
19,50.4,26,414.09,60.5198,40.8211
14,25.43,26,414.51,21.2494,31.5034
1,-39.66,15,249.39,-4.9253,-6.30408
17,40.31,29,459.36,30.882,2.70183
20,55.4,11,189.19,-22.6625,-53.3893
32,115.38,37,579.48,-67.4096,-32.8778
10,5.56,37,579.53,-12.7207,-7.94878
29,100.23,16,264.41,0,0
23,70.54,35,549.5,-32.1796,-30.0079
15,30.26,2,54.43,89.8796,14.2355
20,55.12,17,279.35,-29.7371,-16.4835
29,100.25,33,519.55,32.1191,68.8794
25,80.35,28,443.99,-12.5039,-12.9481
22,65.03,38,594.14,10.7596,2.28703
16,35.03,36,564.47,19.2884,39.5469
6,-14.98,34,534.2,30.9032,16.4315
17,40.01,33,519.39,-44.4326,-11.9057
24,75.36,8,144.21,50.6515,77.9963
5,-19.47,20,324.13,-67.4096,-32.8778
3,-29.82,9,159.28,-91.7153,-31.5801
10,5.46,31,489.53,33.2072,28.8666
9,0.38,2,54,7.27216,13.1193
5,-19.72,7,129.3,-3.97809,-0.418113
15,30.1,17,279.13,-62.0619,-66.5531
39,150.09,36,564.18,-13.7533,-9.99234
27,90.5,1,39.55,-88.6327,-15.6283
16,35.28,19,309.35,16.3623,20.2058
26,85.48,18,294.22,-40.7241,-73.468
26,85.09,39,609.52,38.8118,9.67687
30,105.28,21,339.43,-86.077,-18.2962
17,40.56,30,474.27,-72.6759,-54.7651
36,135.02,36,564.52,49.0054,24.9695
21,60.1,6,114.28,-41.6019,-44.6125
17,40.22,6,114.26,-76.9752,-17.7711
18,45.2,30,474.48,80.0028,12.6712
8,-4.93,34,534.28,-16.776,-8.91995
15,30.34,21,339.4,22.0921,9.37754
38,145.14,22,354.01,-31.2653,-50.0348
18,45.27,38,594.42,-0.898794,-0.438371
3,-29.74,14,234.22,-29.8757,-25.0687
20,54.98,26,414.03,-24.5488,-50.3324
1,-39.91,16,264.19,-44.6646,-5.48412
23,70.5,21,339.42,-23.4195,-36.0628
18,45.13,33,519.45,-2.73512,-6.44353
